Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:11:08,2023-01-03 10:11:08,0.402s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:11:08,2023-01-03 10:11:08,0.193s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:11:08,2023-01-03 10:11:09,0.128s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:09,2023-01-03 10:11:09,0.250s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:11:09,2023-01-03 10:11:09,0.191s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_7 days""))",Chrome 108.0.0.0,,,2023-01-03 10:11:09,2023-01-03 10:11:09,0.296s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:09,2023-01-03 10:11:10,0.211s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:11:10,2023-01-03 10:11:10,0.151s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:11:10,2023-01-03 10:11:10,0.213s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:11:10,2023-01-03 10:11:10,0.180s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:11:10,2023-01-03 10:11:11,0.935s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:11,2023-01-03 10:11:11,0.001s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_90 days,Chrome 108.0.0.0,,,2023-01-03 10:11:11,2023-01-03 10:11:23,11.506s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:11,2023-01-03 10:11:11,0.001s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:11:11,2023-01-03 10:11:14,2.412s,PASSED
